Date,Open,High,Low,Close,Adj Close,Volume
2022-11-21,104.610001,105.480003,103.599998,103.830002,102.535400,4774800
2022-11-22,104.620003,106.160004,103.839996,105.970001,104.648727,5313200
2022-11-23,106.000000,106.980003,105.230003,106.650002,105.320251,3873100
2022-11-25,106.449997,107.180000,105.559998,105.959999,104.638847,3426100
2022-11-28,105.250000,106.300003,104.650002,104.959999,103.651314,6967400
2022-11-29,105.370003,106.820000,105.120003,106.250000,104.925232,8494400
2022-11-30,107.080002,109.690002,105.449997,109.690002,108.322350,16251000
2022-12-01,110.089996,111.860001,109.550003,111.110001,109.724632,7822900
2022-12-02,108.650002,112.709999,108.339996,112.199997,111.141144,5892000
2022-12-05,111.019997,111.129997,109.190002,109.620003,108.585487,6220100
2022-12-06,109.650002,110.529999,106.750000,107.930000,106.911438,7086100
2022-12-07,107.320000,109.120003,107.059998,108.330002,107.307663,5751500
2022-12-08,108.599998,111.489998,108.459999,111.360001,110.309074,6192800
2022-12-09,110.220001,111.379997,109.260002,109.419998,108.387383,5677700
2022-12-12,110.099998,112.169998,109.709999,112.070000,111.012367,6426000
2022-12-13,115.610001,116.449997,111.250000,112.849998,111.785011,8655300
2022-12-14,113.699997,114.120003,110.230003,111.449997,110.398216,7528500
2022-12-15,109.190002,109.620003,107.730003,108.510002,107.485977,7500700
2022-12-16,106.870003,107.610001,105.120003,105.949997,104.950119,14083600
2022-12-19,104.989998,105.510002,102.449997,103.050003,102.077499,10620300
2022-12-20,103.000000,103.400002,101.680000,103.209999,102.235985,17147900
2022-12-21,116.760002,119.180000,115.339996,115.779999,114.687355,32777300
2022-12-22,114.290001,116.820000,114.059998,116.709999,115.608582,17147600
2022-12-23,116.110001,117.169998,115.779999,116.250000,115.152924,6603700
2022-12-27,116.470001,118.199997,115.820000,117.559998,116.450554,6661100
2022-12-28,117.580002,118.239998,114.959999,114.980003,113.894905,5437800
2022-12-29,116.080002,118.070000,115.800003,117.349998,116.242538,4588600
2022-12-30,116.559998,117.250000,115.769997,117.010002,115.905746,4355500
2023-01-03,118.550003,119.489998,117.440002,118.750000,117.629326,8124800
2023-01-04,119.959999,122.230003,119.529999,121.209999,120.066109,8550700
2023-01-05,120.279999,122.339996,120.080002,120.620003,119.481689,6046700
2023-01-06,122.000000,125.360001,121.769997,124.529999,123.354774,10080700
2023-01-09,125.000000,126.610001,124.550003,124.849998,123.671753,9397900
2023-01-10,125.209999,126.330002,124.370003,125.839996,124.652412,5899900
2023-01-11,126.320000,128.259995,126.010002,127.940002,126.732605,6989200
2023-01-12,128.350006,128.460007,126.459999,127.889999,126.683067,8366400
2023-01-13,126.660004,129.229996,126.660004,128.850006,127.634026,4856500
2023-01-17,128.000000,129.050003,127.830002,128.139999,126.930710,6172200
2023-01-18,127.800003,128.589996,126.000000,126.430000,125.236855,6828800
2023-01-19,124.790001,125.440002,123.610001,124.529999,123.354774,5273500
2023-01-20,124.680000,126.639999,124.040001,126.620003,125.425064,5673200
2023-01-23,126.900002,128.750000,126.540001,128.289993,127.079292,5581600
2023-01-24,126.809998,128.009995,120.449997,126.830002,125.633080,5486200
2023-01-25,125.860001,127.010002,124.830002,126.820000,125.623169,5933700
2023-01-26,128.460007,128.990005,126.010002,127.529999,126.326469,5838800
2023-01-27,127.070000,128.580002,126.699997,127.529999,126.326469,5730000
2023-01-30,126.500000,127.559998,126.209999,126.370003,125.177422,6494600
2023-01-31,126.419998,127.849998,126.010002,127.330002,126.128357,7686900
2023-02-01,127.900002,130.220001,126.220001,129.500000,128.277863,6387900
2023-02-02,130.449997,131.309998,127.860001,129.059998,127.842033,5214500
2023-02-03,126.790001,129.419998,126.440002,127.610001,126.405716,4930200
2023-02-06,125.519997,126.099998,124.320000,125.730003,124.543465,4666400
2023-02-07,123.959999,125.930000,123.250000,125.330002,124.147232,5288900
2023-02-08,123.379997,124.099998,121.800003,122.910004,121.750069,5877800
2023-02-09,124.709999,125.019997,121.500000,122.180000,121.026955,5929000
2023-02-10,121.510002,122.639999,120.540001,122.230003,121.076492,5195500
2023-02-13,122.820000,125.720001,122.459999,125.150002,123.968933,5689800
2023-02-14,123.949997,126.360001,123.739998,126.199997,125.009018,4845900
2023-02-15,124.900002,127.500000,124.900002,127.480003,126.276947,5687900
2023-02-16,125.430000,127.209999,124.110001,124.379997,123.206192,4722200
2023-02-17,123.709999,124.889999,123.440002,124.839996,123.661850,5161500
2023-02-21,123.279999,124.000000,120.980003,121.099998,119.957146,5110300
2023-02-22,121.099998,121.400002,119.639999,119.900002,118.768478,5022000
2023-02-23,120.760002,120.760002,118.550003,119.959999,118.827911,4101900
2023-02-24,117.970001,118.739998,117.339996,118.040001,116.926033,4693000
2023-02-27,119.260002,119.820000,118.320000,118.529999,117.411400,4239800
2023-02-28,118.739998,120.400002,117.849998,118.790001,117.668945,8414100
2023-03-01,117.949997,119.790001,117.830002,118.580002,117.460930,4120500
2023-03-02,117.550003,119.959999,117.550003,119.580002,118.451492,4443200
2023-03-03,120.129997,121.040001,119.019997,120.940002,120.140251,3871800
2023-03-06,121.129997,121.989998,119.959999,120.169998,119.375343,5183800
2023-03-07,120.199997,121.019997,119.230003,119.589996,118.799171,5345700
